Border,Date,Measure,Value,Average
US-Mexico Border,05/01/2018 12:00:00 AM,Personal Vehicle Passengers,12425460,14132833
US-Mexico Border,05/01/2018 12:00:00 AM,Personal Vehicles,6723434,6544203
US-Canada Border,05/01/2018 12:00:00 AM,Personal Vehicle Passengers,4365709,5565384
US-Mexico Border,05/01/2018 12:00:00 AM,Pedestrians,3850841,3689655
US-Canada Border,05/01/2018 12:00:00 AM,Personal Vehicles,2368823,2654259
US-Mexico Border,05/01/2018 12:00:00 AM,Trucks,561452,393694
US-Canada Border,05/01/2018 12:00:00 AM,Trucks,523758,510838
US-Mexico Border,05/01/2018 12:00:00 AM,Truck Containers Full,408438,247903
US-Canada Border,05/01/2018 12:00:00 AM,Truck Containers Full,393163,382458
US-Canada Border,05/01/2018 12:00:00 AM,Bus Passengers,197790,270976
US-Canada Border,05/01/2018 12:00:00 AM,Rail Containers Full,152582,107293
US-Mexico Border,05/01/2018 12:00:00 AM,Truck Containers Empty,150480,140831
US-Canada Border,05/01/2018 12:00:00 AM,Truck Containers Empty,142814,86209
US-Mexico Border,05/01/2018 12:00:00 AM,Bus Passengers,108419,247016
US-Canada Border,05/01/2018 12:00:00 AM,Rail Containers Empty,70644,43554
US-Mexico Border,05/01/2018 12:00:00 AM,Rail Containers Empty,53567,30743
US-Canada Border,05/01/2018 12:00:00 AM,Pedestrians,44317,46581
US-Mexico Border,05/01/2018 12:00:00 AM,Rail Containers Full,41851,27517
US-Canada Border,05/01/2018 12:00:00 AM,Train Passengers,26389,20904
US-Mexico Border,05/01/2018 12:00:00 AM,Buses,13079,19749
US-Canada Border,05/01/2018 12:00:00 AM,Buses,8193,11159
US-Canada Border,05/01/2018 12:00:00 AM,Trains,2094,2446
US-Mexico Border,05/01/2018 12:00:00 AM,Trains,948,713
US-Mexico Border,05/01/2018 12:00:00 AM,Train Passengers,891,1037
US-Mexico Border,04/01/2018 12:00:00 AM,Personal Vehicle Passengers,12200002,14140072
US-Mexico Border,04/01/2018 12:00:00 AM,Personal Vehicles,6505841,6544347
US-Mexico Border,04/01/2018 12:00:00 AM,Pedestrians,3860744,3689014
US-Canada Border,04/01/2018 12:00:00 AM,Personal Vehicle Passengers,3670433,5572481
US-Canada Border,04/01/2018 12:00:00 AM,Personal Vehicles,2011328,2656667
US-Mexico Border,04/01/2018 12:00:00 AM,Trucks,542965,393135
US-Canada Border,04/01/2018 12:00:00 AM,Trucks,501673,510872
US-Mexico Border,04/01/2018 12:00:00 AM,Truck Containers Full,394125,247355
US-Canada Border,04/01/2018 12:00:00 AM,Truck Containers Full,375015,382486
US-Mexico Border,04/01/2018 12:00:00 AM,Truck Containers Empty,146387,140810
US-Canada Border,04/01/2018 12:00:00 AM,Rail Containers Full,145538,107149
US-Canada Border,04/01/2018 12:00:00 AM,Truck Containers Empty,137392,86017
US-Mexico Border,04/01/2018 12:00:00 AM,Bus Passengers,122823,247481
US-Canada Border,04/01/2018 12:00:00 AM,Bus Passengers,116462,271555
US-Canada Border,04/01/2018 12:00:00 AM,Rail Containers Empty,69628,43457
US-Mexico Border,04/01/2018 12:00:00 AM,Rail Containers Empty,48490,30676
US-Mexico Border,04/01/2018 12:00:00 AM,Rail Containers Full,39412,27473
US-Canada Border,04/01/2018 12:00:00 AM,Pedestrians,22449,46671
US-Mexico Border,04/01/2018 12:00:00 AM,Buses,13658,19772
US-Canada Border,04/01/2018 12:00:00 AM,Train Passengers,12620,20935
US-Canada Border,04/01/2018 12:00:00 AM,Buses,5047,11182
US-Canada Border,04/01/2018 12:00:00 AM,Trains,1956,2448
US-Mexico Border,04/01/2018 12:00:00 AM,Trains,902,712
US-Mexico Border,04/01/2018 12:00:00 AM,Train Passengers,826,1038
